,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,ID,item,preço,quantidade,medida,Unidades,Quilos,Gramas,Litros,MLs
,5,Sacolas Plásticas P,0.05,1,Unidades,0.05,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,11,Sacolas Plásticas M,0.1,1,Unidades,0.1,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,6,Sacolas Plásticas G,0.15,1,Unidades,0.15,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,45,Isopor Embalagem de Cachorro Quente Grande,1,1,Unidades,1,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,35,Saco de Papel,0.3,1,Unidades,0.3,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,44,Guardanapo,10,50,Unidades,0.2,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,51,Papel Toalha,10,100,Metros,10,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,10,Embalagem Alumínio Espeto,1,1,Unidades,1,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,12,Canudos,10,100,Unidades,0.1,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,21,Ketchup Sachê,0.05,1,Unidades,0.05,"=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,34,,,,Unidades,"=IF(Embalagens[preço] <> """", Embalagens[[#This Row],[preço]] / IF(Embalagens[[#This Row],[medida]] = ""unidades"", Embalagens[[#This Row],[quantidade]], 1), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,24,,,,Unidades,"=IF(Embalagens[preço] <> """", Embalagens[[#This Row],[preço]] / IF(Embalagens[[#This Row],[medida]] = ""unidades"", Embalagens[[#This Row],[quantidade]], 1), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,1,,,,Unidades,"=IF(Embalagens[preço] <> """", Embalagens[[#This Row],[preço]] / IF(Embalagens[[#This Row],[medida]] = ""unidades"", Embalagens[[#This Row],[quantidade]], 1), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,8,,,,Unidades,"=IF(Embalagens[preço] <> """", Embalagens[[#This Row],[preço]] / IF(Embalagens[[#This Row],[medida]] = ""unidades"", Embalagens[[#This Row],[quantidade]], 1), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,47,,,,Unidades,"=IF(Embalagens[preço] <> """", Embalagens[[#This Row],[preço]] / IF(Embalagens[[#This Row],[medida]] = ""unidades"", Embalagens[[#This Row],[quantidade]], 1), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,28,,,,Unidades,"=IF(Embalagens[preço] <> """", Embalagens[[#This Row],[preço]] / IF(Embalagens[[#This Row],[medida]] = ""unidades"", Embalagens[[#This Row],[quantidade]], 1), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""Gramas"", 1, IF(Embalagens[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] / IF(Embalagens[[#This Row],[medida]] = ""ML"", 1000, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(Embalagens[[#This Row],[preço]] / (Embalagens[quantidade] * IF(Embalagens[[#This Row],[medida]] = ""ML"", 1, IF(Embalagens[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
