,,,,,,
,,,,,,
,,,,,,
,ID,Item,Quantidade por pacote,Quantidade,Estimativa,Medida
,5,Abacaxi,1,,,Unidades
,11,Açúcar,1000,,,Gramas
,6,Alface,15,,,Unidades
,45,Alho,1000,,,Gramas
,35,Amstel 350,1,,,Unidades
,44,Arroz,5000,,,Gramas
,51,Azeitona Preta,230,,,Gramas
,10,Bacon,1000,,,Gramas
,12,Barbecue,3500,,,Gramas
,21,Batata Palha,800,,,Gramas
,34,Brahma Chopp 350,1,,,Unidades
,24,Carvão,4000,,,Gramas
,1,Cebola Nacional,1000,,,Gramas
,8,Cebolinha e Salsa,60,,,Unidades
,47,Cheddar,5000,,,Gramas
,28,"Coca Cola 2,5",1,,,Unidades
,29,Coca Cola Lata 350,1,,,Unidades
,38,Coca Cola Zero 600,1,,,Unidades
,30,Coca Cola Zero Lata 350,1,,,Unidades
,22,Creme de Leite,200,,,Gramas
,41,Espetos Bovinos,10,,,Unidades
,112,Espetos De Coração,4,,,Unidades
,117,Espetos de Cupim,1000,,,Gramas
,114,Espetos de Queijo,5,,,Unidades
,108,Espetos Formadora,10,,,Unidades
,109,Espetos Frango,6,,,Unidades
