,,,,,,,,,,
,Simulação de Pedido,,,,,,,,,
,,,,,,,,,,
,ID,produto,Item,Preço,Quantidade Produzida,Pedido Mínimo,Pedido,Arredondar,Total,Total Arredondado
,"=IFERROR(INDEX(insumos[ID], MATCH(Tabela14[[#This Row],[Item]], insumos[item], 0)), """")",Brownie Simples,Ovos,"=IF(Tabela14[[#This Row],[ID]] <> """", INDEX(insumos[preço], MATCH(Tabela14[[#This Row],[ID]], insumos[ID], 0)), """")",90,#N/A,"=IFERROR(ROUNDUP(Tabela14[[#This Row],[Pedido Mínimo]], Tabela14[[#This Row],[Arredondar]]), """")",0,"=IFERROR(Tabela14[[#This Row],[Pedido Mínimo]] * Tabela14[[#This Row],[Preço]], """")","=IFERROR(Tabela14[[#This Row],[Pedido]] * Tabela14[[#This Row],[Preço]], """")"
,11,Brownie Simples,Açúcar,5,90,#N/A,"=IFERROR(ROUNDUP(Tabela14[[#This Row],[Pedido Mínimo]], Tabela14[[#This Row],[Arredondar]]), """")",0,"=IFERROR(Tabela14[[#This Row],[Pedido Mínimo]] * Tabela14[[#This Row],[Preço]], """")","=IFERROR(Tabela14[[#This Row],[Pedido]] * Tabela14[[#This Row],[Preço]], """")"
,"=IFERROR(INDEX(insumos[ID], MATCH(Tabela14[[#This Row],[Item]], insumos[item], 0)), """")",Brownie Simples,Margarina,"=IF(Tabela14[[#This Row],[ID]] <> """", INDEX(insumos[preço], MATCH(Tabela14[[#This Row],[ID]], insumos[ID], 0)), """")",90,#N/A,"=IFERROR(ROUNDUP(Tabela14[[#This Row],[Pedido Mínimo]], Tabela14[[#This Row],[Arredondar]]), """")",1,"=IFERROR(Tabela14[[#This Row],[Pedido Mínimo]] * Tabela14[[#This Row],[Preço]], """")","=IFERROR(Tabela14[[#This Row],[Pedido]] * Tabela14[[#This Row],[Preço]], """")"
,"=IFERROR(INDEX(insumos[ID], MATCH(Tabela14[[#This Row],[Item]], insumos[item], 0)), """")",Brownie Simples,Chocolate em pó,"=IF(Tabela14[[#This Row],[ID]] <> """", INDEX(insumos[preço], MATCH(Tabela14[[#This Row],[ID]], insumos[ID], 0)), """")",90,#N/A,"=IFERROR(ROUNDUP(Tabela14[[#This Row],[Pedido Mínimo]], Tabela14[[#This Row],[Arredondar]]), """")",0,"=IFERROR(Tabela14[[#This Row],[Pedido Mínimo]] * Tabela14[[#This Row],[Preço]], """")","=IFERROR(Tabela14[[#This Row],[Pedido]] * Tabela14[[#This Row],[Preço]], """")"
,"=IFERROR(INDEX(insumos[ID], MATCH(Tabela14[[#This Row],[Item]], insumos[item], 0)), """")",Brownie Simples,Farinha de Trigo,"=IF(Tabela14[[#This Row],[ID]] <> """", INDEX(insumos[preço], MATCH(Tabela14[[#This Row],[ID]], insumos[ID], 0)), """")",90,#N/A,"=IFERROR(ROUNDUP(Tabela14[[#This Row],[Pedido Mínimo]], Tabela14[[#This Row],[Arredondar]]), """")",0,"=IFERROR(Tabela14[[#This Row],[Pedido Mínimo]] * Tabela14[[#This Row],[Preço]], """")","=IFERROR(Tabela14[[#This Row],[Pedido]] * Tabela14[[#This Row],[Preço]], """")"
,"=IFERROR(INDEX(insumos[ID], MATCH(Tabela14[[#This Row],[Item]], insumos[item], 0)), """")",Brownie Gourmet Oreo,Oreo,"=IF(Tabela14[[#This Row],[ID]] <> """", INDEX(insumos[preço], MATCH(Tabela14[[#This Row],[ID]], insumos[ID], 0)), """")",12,#N/A,"=IFERROR(ROUNDUP(Tabela14[[#This Row],[Pedido Mínimo]], Tabela14[[#This Row],[Arredondar]]), """")",,"=IFERROR(Tabela14[[#This Row],[Pedido Mínimo]] * Tabela14[[#This Row],[Preço]], """")","=IFERROR(Tabela14[[#This Row],[Pedido]] * Tabela14[[#This Row],[Preço]], """")"
,"=IFERROR(INDEX(insumos[ID], MATCH(Tabela14[[#This Row],[Item]], insumos[item], 0)), """")",Brownie Gourmet Oreo,Leite Condensado Un.,"=IF(Tabela14[[#This Row],[ID]] <> """", INDEX(insumos[preço], MATCH(Tabela14[[#This Row],[ID]], insumos[ID], 0)), """")",12,#N/A,"=IFERROR(ROUNDUP(Tabela14[[#This Row],[Pedido Mínimo]], Tabela14[[#This Row],[Arredondar]]), """")",,"=IFERROR(Tabela14[[#This Row],[Pedido Mínimo]] * Tabela14[[#This Row],[Preço]], """")","=IFERROR(Tabela14[[#This Row],[Pedido]] * Tabela14[[#This Row],[Preço]], """")"
