,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,ID,item,preço,quantidade,medida,Unidades,Quilos,Gramas,Litros,MLs
,5,Abacaxi,6.49,1,Unidades,6.49,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,11,Açúcar,5,1000,Gramas,5,5,0.005,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,6,Alface,2.99,15,Unidades,0.19933333333333333,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,45,Alho,25,1000,Gramas,25,25,0.025,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,35,Amstel 350,4.09,1,Unidades,4.09,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,44,Arroz,19,5000,Gramas,19,3.8,0.0038,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,51,Azeitona Preta,15,230,Gramas,15,65.21739130434783,0.06521739130434782,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,10,Bacon,51.29,1000,Gramas,51.29,51.29,0.05129,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,12,Barbecue,49.89,3500,Gramas,49.89,14.254285714285714,0.014254285714285714,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,21,Batata Palha,29.9,800,Gramas,29.9,37.37499999999999,0.037375,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
